date,day_of_week,month,year,temperature,humidity,is_holiday,virus_outbreak,previous_patients,patient_count,patient_count_tomorrow
2022-01-01,5,1,2022,29.0,66.2,0,1,200,246,245
2022-01-02,6,1,2022,23.9,35.0,0,0,225,245,219
2022-01-03,0,1,2022,30.2,78.7,0,0,206,219,209
2022-01-04,1,1,2022,37.2,70.2,0,0,202,209,208
2022-01-05,2,1,2022,23.1,80.0,1,1,181,208,258
2022-01-06,3,1,2022,23.1,21.6,0,1,191,258,250
2022-01-07,4,1,2022,37.6,96.3,0,0,217,250,246
2022-01-08,5,1,2022,31.1,62.9,0,1,140,246,239
2022-01-09,6,1,2022,21.2,81.6,1,0,169,239,240
2022-01-10,0,1,2022,29.3,49.4,1,1,156,240,229
2022-01-11,1,1,2022,21.3,74.2,0,0,191,229,205
2022-01-12,2,1,2022,21.3,49.2,1,0,216,205,253
2022-01-13,3,1,2022,26.9,55.6,0,1,162,253,187
2022-01-14,4,1,2022,9.7,93.7,0,0,108,187,247
2022-01-15,5,1,2022,11.2,62.1,0,1,167,247,217
2022-01-16,6,1,2022,20.5,68.3,0,0,207,217,186
2022-01-17,0,1,2022,16.9,78.1,0,0,196,186,188
2022-01-18,1,1,2022,27.5,72.4,0,0,192,188,207
2022-01-19,2,1,2022,17.7,67.3,0,0,171,207,205
2022-01-20,3,1,2022,13.7,70.5,0,0,141,205,199
2022-01-21,4,1,2022,36.7,101.1,0,0,195,199,215
2022-01-22,5,1,2022,23.2,64.1,0,0,154,215,277
2022-01-23,6,1,2022,25.5,68.0,0,0,245,277,209
2022-01-24,0,1,2022,13.6,80.8,0,1,197,209,221
2022-01-25,1,1,2022,20.6,81.6,0,1,162,221,200
2022-01-26,2,1,2022,25.9,82.8,0,0,161,200,234
2022-01-27,3,1,2022,15.8,74.6,0,1,177,234,213
2022-01-28,4,1,2022,28.0,47.9,0,0,172,213,219
2022-01-29,5,1,2022,20.2,89.5,0,0,213,219,243
2022-01-30,6,1,2022,22.7,47.8,0,1,185,243,210
2022-01-31,0,1,2022,20.2,69.5,0,1,158,210,226
2022-02-01,1,2,2022,39.8,53.7,0,0,236,226,227
2022-02-02,2,2,2022,24.9,64.0,0,1,181,227,211
2022-02-03,3,2,2022,16.5,69.9,0,0,203,211,236
2022-02-04,4,2,2022,31.6,69.8,0,1,161,236,243
2022-02-05,5,2,2022,15.2,71.3,0,0,190,243,236
2022-02-06,6,2,2022,26.7,89.2,0,0,189,236,137
2022-02-07,0,2,2022,9.3,71.8,0,0,123,137,226
2022-02-08,1,2,2022,14.4,61.3,0,0,240,226,217
2022-02-09,2,2,2022,26.6,79.5,0,0,218,217,236
2022-02-10,3,2,2022,30.9,82.8,0,1,168,236,232
2022-02-11,4,2,2022,26.4,46.6,0,0,146,232,231
2022-02-12,5,2,2022,24.1,74.0,1,0,190,231,240
2022-02-13,6,2,2022,22.6,75.5,0,0,182,240,169
2022-02-14,0,2,2022,13.2,60.5,0,0,190,169,192
2022-02-15,1,2,2022,19.2,85.6,0,0,185,192,217
2022-02-16,2,2,2022,21.3,62.7,0,0,195,217,210
2022-02-17,3,2,2022,33.5,66.9,0,0,223,210,231
2022-02-18,4,2,2022,27.7,62.4,0,0,197,231,210
2022-02-19,5,2,2022,10.9,65.2,1,0,148,210,279
2022-02-20,6,2,2022,27.6,48.6,0,1,220,279,247
2022-02-21,0,2,2022,21.9,43.4,0,1,229,247,236
2022-02-22,1,2,2022,19.6,88.9,0,0,274,236,215
2022-02-23,2,2,2022,29.9,52.3,0,0,146,215,204
2022-02-24,3,2,2022,33.2,50.1,0,0,187,204,201
2022-02-25,4,2,2022,32.5,32.7,0,0,117,201,233
2022-02-26,5,2,2022,18.3,55.4,0,0,196,233,212
2022-02-27,6,2,2022,22.5,45.2,0,0,163,212,227
2022-02-28,0,2,2022,27.7,89.6,0,0,237,227,227
2022-03-01,1,3,2022,32.8,80.1,0,0,156,227,184
2022-03-02,2,3,2022,21.2,54.7,0,0,129,184,215
2022-03-03,3,3,2022,23.5,98.8,0,0,165,215,220
2022-03-04,4,3,2022,16.1,79.7,0,1,120,220,224
2022-03-05,5,3,2022,15.4,60.1,0,0,202,224,189
2022-03-06,6,3,2022,31.5,27.5,0,0,118,189,210
2022-03-07,0,3,2022,35.8,99.4,0,1,180,210,177
2022-03-08,1,3,2022,24.4,44.2,0,1,117,177,232
2022-03-09,2,3,2022,33.0,40.3,0,0,170,232,233
2022-03-10,3,3,2022,27.9,80.3,1,0,229,233,219
2022-03-11,4,3,2022,19.8,101.6,0,0,190,219,234
2022-03-12,5,3,2022,27.9,85.8,0,0,154,234,227
2022-03-13,6,3,2022,37.3,73.5,0,0,179,227,179
2022-03-14,0,3,2022,24.7,73.9,0,0,180,179,211
2022-03-15,1,3,2022,37.5,77.8,0,0,194,211,195
2022-03-16,2,3,2022,4.0,76.4,0,0,138,195,232
2022-03-17,3,3,2022,31.6,69.2,0,0,197,232,194
